,name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,injected_value,anomaly
532,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 08:00:00+02:00,230.0,19.4925,1,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,658.5450362145814,1.0
533,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 09:00:00+02:00,377.0,18.3,1,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,377.0,0.0
534,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 10:00:00+02:00,406.0,22.08,1,0.4999999999999999,-0.8660254037844387,0.7818314824680298,0.6234898018587336,406.0,0.0
535,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 11:00:00+02:00,432.0,17.64,1,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,860.5450362145814,1.0
536,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 12:00:00+02:00,487.0,19.6925,1,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,487.0,0.0
537,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 13:00:00+02:00,540.0,20.23,1,-0.2588190451025208,-0.9659258262890684,0.7818314824680298,0.6234898018587336,540.0,0.0
538,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 14:00:00+02:00,361.0,17.23,1,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,361.0,0.0
539,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 15:00:00+02:00,572.0,17.08,1,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,572.0,0.0
540,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 16:00:00+02:00,374.0,18.215,1,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,374.0,0.0
541,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 17:00:00+02:00,405.0,18.285,1,-0.9659258262890684,-0.2588190451025206,0.7818314824680298,0.6234898018587336,405.0,0.0
542,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 18:00:00+02:00,312.0,15.74,1,-1.0,-1.8369701987210294e-16,0.7818314824680298,0.6234898018587336,0.0,1.0
543,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 19:00:00+02:00,234.0,16.195,1,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,234.0,0.0
